KCWC 0
KFLG 1
KABI 2
KRPH 3
KBKD 4
KETN 5
KT82 6
KSEP 8
KGDJ 9
KMWL 10
KXBP 11
KLUD 12
K0F2 13
KCOS 14
KGLE 15
KDTO 17
KAFW 18
KNFW 19
KFTW 20
KDFW 21
KADS 22
KDAL 23
KGPM 24
KINJ 25
KCPT 26
KFWS 27
KGKY 28
KRBD 29
KJWY 30
KLNC 31
KCRS 32
KHQZ 33
KTRL 34
KF46 35
KTKI 36
KGYI 37
KF00 38
KPRX 40
KSLR 42
KGVT 43
KJDD 45
KTYR 46
KF44 47
KJSO 49
